"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1281 Lund","Tax revenues",2155367,2320624,2520898,2745366,2914783,3077400,3148510,3343731,3538395,3650845,3869182,3977016,4089257,4286308,4446407,4635583,4844541,5066125,5311119,5577661,5719600,5916670,6004089,6363307,6775759
"1281 Lund","General grants and equalisation grants",266969,222121,176317,100595,75275,-6582,-50743,94406,142205,196497,192288,204664,364452,280061,267966,317862,342426,346687,382864,422552,536028,654396,966020,1009112,1026508
"1281 Lund","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-139335,279027,367176,290639
"1281 Lund","Financial income",37314,36800,263594,39000,37561,41834,47878,116684,64791,67171,64530,67910,61364,75692,88087,104875,99021,117677,144986,129699,121957,173751,206710,264007,216483
"1281 Lund","Financial costs",-22310,-29800,-15561,-21200,-16305,-8678,-6869,-6124,-3575,-6922,-18126,-10453,-4727,-58900,-40387,-79899,-40809,-35161,-40063,-42306,-39446,-55173,-62894,-32743,-134274
"1281 Lund","Net profit/loss after financial items",-20057,-9872,193553,22000,-4951,-807,17450,229229,178610,-9796,49636,109231,210701,-17799,117368,218346,14189,145058,102978,163807,48210,-20757,422843,598440,372848
"1281 Lund","Net profit/loss for the year",-20057,-9872,193553,22000,-4951,-807,17450,229229,178610,-9796,49636,109231,210701,-17799,117368,218346,14189,145058,102978,163807,48210,-20757,422843,598440,372848
"1282 Landskrona","Total income for operations",459574,469553,528578,537353,559112,572231,649890,605070,639831,647431,639991,645179,673978,430464,454123,487148,500989,540220,656319,695922,745001,661950,785463,814907,819256
"1282 Landskrona","Total costs for operations",-1386123,-1463739,-1546910,-1679688,-1760182,-1816624,-1822878,-1897724,-2051565,-2095158,-2161467,-2273568,-2397376,-2224876,-2298461,-2399539,-2437779,-2561651,-2768320,-2915359,-3085733,-3135808,-3156282,-3112756,-3397157
"1282 Landskrona","Total net current costs",-1013178,-1095027,-1116436,-1253379,-1327464,-1379501,-1316496,-1428567,-1553530,-1601314,-1679255,-1749722,-1849695,-1892229,-1945832,-2023285,-2116862,-2139999,-2235492,-2351353,-2476140,-2618249,-2523093,-2528941,-2839083
"1282 Landskrona","Tax revenues",762551,805136,866013,919620,954141,986960,1002341,1036316,1103793,1151855,1214874,1234636,1260838,1296385,1333563,1378449,1426544,1492919,1560636,1645069,1685181,1757212,1768205,1911101,2050819
"1282 Landskrona","General grants and equalisation grants",247267,249429,258919,276122,316852,320642,330584,390396,402063,459307,461751,490572,571491,600349,619846,663936,670839,680478,735962,761905,796604,825346,949639,941478,930194
"1282 Landskrona","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-35691,194751,323638,141930
"1282 Landskrona","Financial income",33918,26646,28971,53649,46902,31050,51655,66928,82791,61542,56694,89232,26495,82347,39998,26537,50799,57022,11311,25391,28644,122343,87706,139506,71586
"1282 Landskrona","Financial costs",-12785,-14137,-10043,-5694,-2164,-932,-1044,-3190,-4573,-5152,-38736,-3576,-3351,-2681,-2842,-2604,-2551,-2380,-947,-870,-6378,-3029,-6668,-12553,-126234
"1282 Landskrona","Net profit/loss after financial items",16973,-29439,26069,-10282,-11733,-41781,67040,61883,30544,66238,15328,61142,5778,84171,44733,43033,28769,88040,71470,80142,27911,83623,275789,450590,87282
"1282 Landskrona","Net profit/loss for the year",16973,-29439,26069,1013740,-11733,-50593,67040,61883,69644,66238,15328,61142,-91346,368188,39223,48408,28769,88040,71470,382021,27911,102559,275789,450590,87282
"1283 Helsingborg","Total income for operations",1136650,1248347,1258307,1121184,1236615,1277749,1419838,1503000,1522677,1674208,1631720,1715569,1759747,1636619,1632422,1777048,1629833,1750393,2136966,2296926,2328073,2280276,2344351,2351366,2525007
"1283 Helsingborg","Total costs for operations",-3822737,-4106525,-4324684,-4470441,-4742591,-4948841,-5174264,-5387621,-5640945,-5975454,-6103539,-6550339,-7135418,-6937920,-6831515,-7135223,-7329103,-7745000,-8498572,-8997074,-9456512,-9554258,-9584950,-9965066,-10535471
"1283 Helsingborg","Total net current costs",-2902514,-3088048,-3273962,-3577577,-3757661,-3929516,-4038567,-4171720,-4403596,-4602648,-4790206,-5072025,-5620882,-5555499,-5467322,-5648408,-6007369,-6340425,-6707479,-7082986,-7552537,-7753146,-7856853,-8197978,-8626295
"1283 Helsingborg","Tax revenues",2407381,2563777,2778025,3001888,3166852,3309143,3527036,3652617,3891715,4081097,4314646,4352144,4458034,4656316,4810310,4974459,5100327,5356774,5597529,5929562,6134224,6387210,6432153,6872488,7348864
"1283 Helsingborg","General grants and equalisation grants",553386,545583,550836,544249,573678,569131,534997,619302,614044,694808,719420,793370,983011,955125,967417,1038637,1060712,1076223,1331819,1415393,1539006,1587601,1970575,2004930,2011338
"1283 Helsingborg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221665,545875,679440,733907
"1283 Helsingborg","Financial income",374232,396915,358005,305087,283267,256944,234632,191893,201904,267742,173747,182287,241531,291684,248830,122752,121719,34705,44580,63659,441013,115669,141868,189384,347559
"1283 Helsingborg","Financial costs",-270246,-244002,-245464,-252207,-278452,-189585,-153328,-114980,-95996,-198683,-65622,-40160,-154420,-185189,-198440,-114725,-149469,-40277,-67150,-71866,-175592,-81800,-60267,-74145,-100261
"1283 Helsingborg","Net profit/loss after financial items",160469,170360,163891,20086,-13350,14621,103142,175819,206630,240408,349887,212324,-93753,162437,360795,372715,125920,87000,199299,253761,386114,255534,627476,794679,981205
"1283 Helsingborg","Net profit/loss for the year",160469,170360,163891,20086,-13350,14621,103142,175819,206630,2640208,530387,210346,-93753,162437,360795,372715,125920,87000,199299,253761,386114,255534,627476,794679,981205
"1284 Höganäs","Total income for operations",164727,143505,155756,162849,187849,212786,206809,209584,238164,223393,227313,242757,255445,267482,310024,304963,293253,341578,396427,598234,434066,423180,420922,455919,451900
"1284 Höganäs","Total costs for operations",-661556,-666051,-715968,-750495,-818598,-867671,-887004,-919047,-939931,-1003867,-1051419,-1096492,-1174479,-1279812,-1310192,-1351563,-1407633,-1491463,-1624494,-1881553,-1727431,-1781360,-1823420,-1862753,-1935600
"1284 Höganäs","Total net current costs",-550814,-591251,-610158,-646946,-690139,-717555,-745366,-780954,-830249,-850234,-918418,-908775,-982784,-1070321,-1052691,-1111015,-1169462,-1208394,-1290457,-1343203,-1360444,-1429970,-1475897,-1492715,-1574700
"1284 Höganäs","Tax revenues",494964,526640,574543,619936,641414,673470,697205,719329,767483,812320,856418,876887,896656,939434,960932,1001460,1008977,1064786,1113158,1173923,1199479,1230051,1227201,1299598,1384478
"1284 Höganäs","General grants and equalisation grants",61146,56866,51339,40446,57883,46562,46456,63569,70701,82081,87623,96133,134488,130613,143162,157854,166391,151280,178146,177646,187979,225418,285751,302381,310378
"1284 Höganäs","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25500,37055,109265,120156
"1284 Höganäs","Financial income",4681,6874,6757,9055,6141,11299,12257,11621,13402,14883,17817,9676,16904,15388,17083,13724,10479,17100,14385,22796,19400,8109,20422,25492,20200
"1284 Höganäs","Financial costs",-10117,-9932,-8791,-7275,-5915,-9813,-9036,-8325,-7947,-7199,-6826,-4612,-4471,-5926,-6312,-4699,-2981,-2963,-571,-3804,-4368,-1587,-1572,-1491,-2708
"1284 Höganäs","Net profit/loss after financial items",-140,-11621,12950,14920,8842,3334,736,4562,12783,51851,36614,62927,54362,9188,62174,57324,13404,21809,14661,27358,42046,32022,55905,133266,137648
"1284 Höganäs","Net profit/loss for the year",-140,-11621,12950,30920,8842,3334,736,4562,12783,51851,36614,62927,54362,9188,62174,57324,13404,21809,14661,27358,42046,32022,55905,133266,137648
"1285 Eslöv","Total income for operations",223385,264902,268982,284372,288011,318180,334364,333345,369268,368872,389937,374310,409730,394514,351241,358087,313369,347187,452228,426251,438691,409802,412414,403886,452121
"1285 Eslöv","Total costs for operations",-927941,-984632,-1065758,-1103722,-1158209,-1226494,-1263997,-1306771,-1405580,-1487273,-1582951,-1638355,-1679224,-1752463,-1749861,-1793630,-1839027,-1901199,-2086415,-2139893,-2244748,-2292114,-2342748,-2434680,-2581843
"1285 Eslöv","Total net current costs",-748072,-766014,-844440,-867589,-919584,-970533,-983881,-1042155,-1100728,-1185607,-1268128,-1308365,-1327194,-1404653,-1442736,-1483984,-1578932,-1613410,-1699897,-1779424,-1874491,-1952294,-2009267,-2108949,-2217266
"1285 Eslöv","Tax revenues",587561,624000,663937,694637,712173,745083,747965,776790,833699,871187,926938,949262,977601,1021177,1051574,1119784,1146543,1196481,1261014,1350054,1382050,1425160,1422335,1512280,1624880
"1285 Eslöv","General grants and equalisation grants",167686,174170,184949,190301,211053,225356,244174,275065,299394,324102,331048,356758,397775,399647,414581,420457,429356,439905,467590,483165,503740,542276,637724,668286,690287
"1285 Eslöv","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15142,50793,71616,97901
"1285 Eslöv","Financial income",11290,2992,9933,10611,10888,9700,8820,19700,12433,13243,14955,23927,13300,13641,19959,19506,28721,31954,22374,21237,30794,34234,28215,93022,32951
"1285 Eslöv","Financial costs",-3658,-2043,-2312,-2433,-5512,-1600,-722,-333,-352,-219,-3426,-5202,-67,-1098,-3319,-12242,-4423,-2989,-3437,-3753,-4365,-4587,-4280,-3133,-21603
"1285 Eslöv","Net profit/loss after financial items",14007,31745,10879,25073,8578,7606,16056,28800,44153,22393,1100,16380,61182,28714,40059,63521,21265,51941,47644,71279,37728,44789,74727,161506,109249
"1285 Eslöv","Net profit/loss for the year",14007,31745,10879,25073,8578,7606,16056,28800,44153,22393,1100,16380,61182,28714,113659,63521,21265,51941,47644,71279,37728,44789,74727,161506,109249
"1286 Ystad","Total income for operations",265963,273421,259002,269397,284906,307671,329665,338892,354059,336527,366974,367115,428449,423962,426463,425040,454354,502606,660903,690519,738129,725203,754900,821972,805063
"1286 Ystad","Total costs for operations",-829477,-884372,-932183,-963136,-1006479,-1076462,-1085411,-1133868,-1191300,-1237347,-1305356,-1356438,-1451435,-1509986,-1512597,-1552737,-1614430,-1700434,-1926838,-2008148,-2152064,-2198455,-2258864,-2349086,-2441478
"1286 Ystad","Total net current costs",-625527,-674136,-723617,-755856,-786011,-840322,-828353,-868643,-916318,-982541,-1019791,-1058012,-1096995,-1164915,-1179041,-1227585,-1267475,-1322333,-1407032,-1459866,-1568988,-1638530,-1682713,-1772265,-1856969
"1286 Ystad","Tax revenues",510791,546502,588313,640984,673489,703392,739362,778188,840171,864515,915259,931994,953462,1005674,1043857,1072670,1105229,1159384,1206664,1267674,1294532,1339149,1331678,1420154,1535145
"1286 Ystad","General grants and equalisation grants",132269,143442,150203,136377,131357,132696,128018,134638,135523,148993,155059,155542,202162,176565,177719,194094,175299,172041,228296,223453,245776,289459,386814,403658,450240
"1286 Ystad","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-9922,35779,51547,128416
"1286 Ystad","Financial income",20785,20486,18399,18260,20459,16950,21691,31420,31408,26880,28174,21630,17319,30211,34553,33275,41957,38506,36161,34191,49253,43194,37091,43174,28720
"1286 Ystad","Financial costs",-22053,-22071,-19965,-21063,-26285,-21349,-20877,-26258,-27372,-25057,-32491,-11721,-14334,-33106,-32664,-36696,-35747,-34722,-30481,-27061,-21885,-16538,-8047,-15745,-24855
"1286 Ystad","Net profit/loss after financial items",15794,13057,12140,17993,11902,-9837,38603,48565,62717,32024,45467,38394,61271,14429,44424,35758,19263,12876,33608,38391,-1312,16734,64823,78976,132281
"1286 Ystad","Net profit/loss for the year",15794,13057,15640,17993,11902,-9837,257247,48565,62717,32024,45467,38394,61271,14429,44424,35758,19263,12876,33608,38391,-1312,16734,64823,78976,132281
"1287 Trelleborg","Total income for operations",396047,412351,422548,452730,426420,431298,444589,441796,442831,446686,437565,425184,438488,494389,518282,534503,514646,620362,636090,630870,620173,652884,700152,660018,700849
"1287 Trelleborg","Total costs for operations",-1214713,-1311841,-1365074,-1466263,-1507098,-1596377,-1597472,-1674076,-1721568,-1807816,-1907239,-1990459,-2078979,-2149684,-2240095,-2329905,-2384656,-2560325,-2698924,-2773265,-2829379,-2908293,-2940999,-3104399,-3326142
"1287 Trelleborg","Total net current costs",-885803,-965349,-1003130,-1082078,-1159458,-1258586,-1259285,-1334162,-1385610,-1488504,-1596880,-1655980,-1738257,-1755339,-1825184,-1915536,-1989218,-2064682,-2199230,-2276448,-2362956,-2413155,-2386454,-2589034,-2793407
"1287 Trelleborg","Tax revenues",731312,770184,851354,914277,959782,1046227,1056680,1094817,1173250,1233897,1297036,1314209,1361856,1419718,1471904,1518901,1563355,1628628,1700962,1790895,1842238,1913223,1916548,2044565,2168107
"1287 Trelleborg","General grants and equalisation grants",184975,202786,200372,206507,225796,228423,224859,273232,275267,299002,341402,372084,418744,419760,423050,441167,438645,436548,533955,513497,542711,566179,724724,767363,758758
"1287 Trelleborg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66247,254818,222894,133458
"1287 Trelleborg","Financial income",12646,11300,13700,13921,15097,17091,7778,10290,21492,18901,22345,17708,16166,13261,18308,19513,13426,9775,16549,36057,30737,20272,15441,47078,52473
"1287 Trelleborg","Financial costs",-6235,-18317,-12500,-9135,-21696,-9681,-7130,-11027,-13739,-19395,-26944,-15943,-13741,-26569,-17685,-31409,-12502,-11432,-14267,-13399,-11061,-13493,-21259,-16545,-43518
"1287 Trelleborg","Net profit/loss after financial items",35895,2621,48296,42637,19301,22468,21598,31470,68866,41491,33791,26369,42783,70831,70393,32636,13706,-1163,37969,50602,41669,73026,249000,253427,142413
"1287 Trelleborg","Net profit/loss for the year",35895,54191,48296,42637,19301,22468,21598,31470,68866,41491,33791,26369,42783,70831,70393,32636,13706,-1163,37969,50602,276202,73026,393900,253427,142413
"1290 Kristianstad","Total income for operations",632007,667451,657934,670969,728239,746544,821932,802937,828307,855017,897621,903981,908896,1019996,1115195,1053337,1109789,1195626,1398115,1497691,1489888,1402191,1457657,1468500,1404414
"1290 Kristianstad","Total costs for operations",-2378049,-2521084,-2625022,-2782137,-2926208,-3078495,-3208903,-3286911,-3436688,-3704849,-3902798,-4023167,-4147639,-4507592,-4649507,-4712280,-4994303,-5244483,-5648989,-5872947,-6034362,-6169358,-6200650,-6369567,-6616706
"1290 Kristianstad","Total net current costs",-1891896,-2016328,-2138019,-2280548,-2385811,-2526921,-2594359,-2695707,-2828359,-3091096,-3269926,-3300850,-3451994,-3685912,-3738916,-3892115,-4095476,-4275635,-4491966,-4626828,-4823549,-5057880,-5122495,-5232709,-5568705
"1290 Kristianstad","Tax revenues",1562204,1696653,1821430,1932992,2017653,2064906,2122057,2217391,2355326,2457723,2584539,2625278,2657626,2760495,2854077,2937532,3073819,3209021,3370174,3541549,3646689,3773285,3758296,3987674,4246623
"1290 Kristianstad","General grants and equalisation grants",364644,363584,407652,414195,449445,469872,437958,487480,545698,630710,661463,727350,885564,900440,908735,965833,1020228,1056563,1171322,1205766,1255026,1296961,1598357,1669181,1762936
"1290 Kristianstad","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12366,234158,424146,440854
"1290 Kristianstad","Financial income",11038,19013,19366,20445,21712,22778,21663,20567,22064,59118,64060,39131,32450,40245,37937,51263,50466,38551,43713,68410,46278,83380,39423,36349,45396
"1290 Kristianstad","Financial costs",-14032,-11121,-11570,-4352,-6076,-6978,-5147,-5751,-5360,-4304,-4263,-3417,-1049,-3576,-6620,-7515,-14441,-17988,-31878,-15017,-15380,-18412,-24550,-26098,-33130
"1290 Kristianstad","Net profit/loss after financial items",30738,48962,95674,81609,95516,22347,-19274,23059,88523,51050,34605,85697,122095,11692,55213,54998,34596,10512,61365,173880,109064,77334,249031,434397,453120
"1290 Kristianstad","Net profit/loss for the year",30738,48962,79474,81609,85516,13347,-19274,23059,1029127,51050,34605,85697,122095,11692,55213,54998,34596,10512,61365,173880,109064,77334,249031,434397,453120
"1291 Simrishamn","Total income for operations",138276,139197,141530,145381,156441,166959,167292,169643,182007,212552,203942,206431,217993,234523,244330,259264,252159,261521,341366,320420,307007,279034,303208,305253,329731
"1291 Simrishamn","Total costs for operations",-646645,-661146,-699621,-739570,-753074,-779029,-796041,-826511,-867550,-907397,-957096,-986847,-1014283,-1074950,-1086025,-1112726,-1122591,-1155599,-1267840,-1293778,-1340427,-1333532,-1351504,-1383351,-1428175
"1291 Simrishamn","Total net current costs",-545829,-566396,-598229,-641137,-644072,-660277,-676275,-699414,-730778,-741623,-802523,-818186,-831424,-876289,-876520,-888636,-907135,-932939,-967778,-1017356,-1079304,-1099482,-1096096,-1128276,-1157680
"1291 Simrishamn","Tax revenues",380828,402903,442627,473216,483543,490356,502716,534073,567904,589264,616049,616632,627333,662229,673270,689060,689851,721102,743940,773513,789544,813690,796675,831253,884043
"1291 Simrishamn","General grants and equalisation grants",148149,156176,155998,158606,174492,184436,186327,192566,198598,209697,204583,215946,235229,213563,214965,218608,222767,219611,268134,276038,284417,283725,368566,379600,385199
"1291 Simrishamn","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2067,69145,82577,111562
"1291 Simrishamn","Financial income",5410,4612,7730,4206,2367,16780,8728,6212,2476,5249,7412,7683,6184,11454,5157,9207,6631,8963,13938,11397,15186,32749,15115,37210,8560
"1291 Simrishamn","Financial costs",-11112,-9868,-9720,-10304,-33047,-7822,-6418,-5927,-6071,-6688,-6535,-4425,-4572,-5659,-6307,-5440,-4714,-4190,-3461,-1736,-2318,-2777,-2413,-2379,-29182
"1291 Simrishamn","Net profit/loss after financial items",-22814,-13265,-2085,-15590,-16932,23286,14945,27389,32004,55791,18793,17355,32662,5298,10565,22799,7400,12547,54773,41856,7525,27905,81847,117408,90940
"1291 Simrishamn","Net profit/loss for the year",28186,-13265,-2085,-15590,-16932,23286,14945,27389,32004,55791,18793,17355,32662,5298,10565,22799,7400,12547,54773,41856,7525,27905,81847,117408,90940
"1292 Ängelholm","Total income for operations",263961,283921,277867,303801,305609,323847,339041,336703,378724,392655,404138,492090,427333,472977,507711,553288,512025,545992,669201,663967,663465,654955,777830,753701,835246
"1292 Ängelholm","Total costs for operations",-1062493,-1122778,-1165180,-1263399,-1332521,-1392405,-1438283,-1497628,-1579251,-1660408,-1768353,-1861770,-1920984,-2020906,-2125875,-2208064,-2274398,-2380810,-2880796,-2703696,-2812071,-2925279,-3055274,-2911774,-3175778
"1292 Ängelholm","Total net current costs",-857896,-902498,-965576,-1041259,-1111484,-1158236,-1187531,-1247380,-1292056,-1357799,-1461851,-1439990,-1566324,-1637539,-1701103,-1712877,-1829344,-1895854,-2274575,-2101607,-2214431,-2341303,-2361876,-2460069,-2634119
"1292 Ängelholm","Tax revenues",701255,754723,825684,893990,947647,992883,1023104,1069508,1138524,1194838,1261985,1284715,1309711,1372256,1407615,1458272,1540596,1628501,1703131,1817789,1874770,1963884,1955285,2069901,2188498
"1292 Ängelholm","General grants and equalisation grants",143028,160550,174862,172827,178541,170592,157022,199653,217888,229771,229760,228658,291162,273984,285051,292018,275787,264054,290875,331391,356849,394156,514619,575276,591593
"1292 Ängelholm","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16736,108028,185108,145972
"1292 Ängelholm","Financial income",5201,7680,3143,9625,9356,9322,11635,9197,19372,24439,42966,19674,24463,19157,28904,34157,34077,26874,19568,17447,29788,41611,26934,50754,29468
"1292 Ängelholm","Financial costs",-6363,-6518,-6866,-6836,-8334,-7404,-5875,-5002,-5261,-5985,-26748,-10541,-3512,-19298,-8045,-13296,-11004,-7735,-5194,-4357,-4842,-5809,-5502,-37572,-69099
"1292 Ängelholm","Net profit/loss after financial items",-15132,12875,30135,27630,14612,6182,-2716,25212,77748,84432,45263,81166,55131,8560,12422,58274,10112,15840,-266195,60663,42134,52539,129460,198290,106341
"1292 Ängelholm","Net profit/loss for the year",-15132,12875,30135,27630,14612,6182,-2716,25212,77748,84432,45263,81166,55131,376242,12422,58274,10112,15840,-266195,60663,42134,52539,129460,198290,106341
"1293 Hässleholm","Total income for operations",387425,371838,393362,326070,355214,381156,441375,407624,402522,424660,419741,433576,463433,422694,480662,468812,464971,566816,738560,734008,749070,706451,726941,665984,671087
"1293 Hässleholm","Total costs for operations",-1500418,-1573252,-1696934,-1745896,-1845743,-1952635,-2026057,-2033973,-2134994,-2305847,-2453275,-2491601,-2528091,-2615135,-2708903,-2746744,-2878612,-3074826,-3346502,-3473686,-3641475,-3736518,-3748659,-3861992,-3995384
"1293 Hässleholm","Total net current costs",-1204048,-1295328,-1399094,-1505329,-1581165,-1672914,-1694424,-1733249,-1846328,-2001325,-2158987,-2137082,-2145499,-2278194,-2323209,-2408358,-2515921,-2615602,-2731522,-2870523,-3036547,-3195477,-3190667,-3384265,-3509834
"1293 Hässleholm","Tax revenues",950193,1023517,1102426,1173038,1248053,1265024,1280897,1343891,1430583,1496909,1573589,1576896,1601275,1659646,1698628,1742873,1804911,1878907,1966455,2061955,2120102,2189862,2196057,2313313,2432382
"1293 Hässleholm","General grants and equalisation grants",268908,280998,310436,332164,372440,405426,414953,451334,475334,503440,523218,573719,650827,641192,644325,664853,678791,693760,797167,802852,858659,895514,1053851,1099847,1129542
"1293 Hässleholm","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-110101,59240,28895,52090
"1293 Hässleholm","Financial income",42825,24410,18877,24412,17886,74147,47135,29504,31722,57576,52084,70276,58390,49651,43403,47219,51971,78099,67438,75283,105888,196942,81045,201443,84771
"1293 Hässleholm","Financial costs",-8957,-4920,-4554,-4281,-81913,-8979,-4972,-3046,-4242,-16399,-8053,-2696,-1592,-28010,-12838,-15345,-7707,-7143,-9591,-10290,-6163,-6537,-6885,-8585,-196991
"1293 Hässleholm","Net profit/loss after financial items",48196,26896,26476,19407,-25499,62046,43010,88051,86625,39486,-19042,79504,162895,44285,50309,31242,12045,28021,89947,59277,41939,80304,133401,221753,-60130
"1293 Hässleholm","Net profit/loss for the year",364969,26896,26476,13809,-25499,62046,43010,88051,51625,39486,1958,79504,162895,44285,50309,31242,12045,28021,89947,59277,41939,80304,133401,221753,-60130
"1315 Hylte","Total income for operations",95415,95792,99275,105900,114519,120622,129781,132763,137911,124506,131774,138526,143081,154971,208316,213893,211258,228392,272468,281273,267724,250418,259098,217494,222979
"1315 Hylte","Total costs for operations",-341457,-357827,-372767,-397360,-429712,-477699,-490463,-493859,-513409,-520152,-529154,-551575,-572988,-589393,-652113,-660277,-667168,-705126,-788820,-862001,-920331,-904930,-912589,-877995,-909736
"1315 Hylte","Total net current costs",-267119,-283464,-295381,-315215,-343095,-382036,-386517,-387754,-403470,-423104,-430139,-435299,-452970,-458650,-470656,-476306,-487714,-510766,-549938,-615625,-690027,-695350,-694260,-704394,-735936
"1315 Hylte","Tax revenues",200269,220012,238055,251669,263771,273134,274334,290320,316377,329694,342737,342167,345455,354755,366863,372583,379111,387973,400228,415232,426815,444331,439136,454451,471708
"1315 Hylte","General grants and equalisation grants",70881,59916,67367,81133,91609,99421,97310,105250,99623,103308,104237,109882,120397,112476,111364,114826,125270,146046,205327,224184,247711,244637,268526,265451,285673
"1315 Hylte","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-6382,13402,15508,21445
"1315 Hylte","Financial income",1920,1157,1132,817,1000,639,665,763,1040,500,1073,1772,1570,1264,2227,1303,1207,1151,1817,1584,2177,2101,1932,1580,2304
"1315 Hylte","Financial costs",-5368,-7147,-7021,-7174,-7100,-5399,-3941,-3554,-4305,-7000,-8679,-2483,-2606,-7318,-7090,-6848,-6075,-4150,-2987,-2295,-1455,-1931,-1675,-1298,-2230
"1315 Hylte","Net profit/loss after financial items",363,-9948,4152,11040,5885,-14464,-18421,4849,9063,3098,9036,15673,11764,2527,2708,5558,11799,20254,54447,23080,-14779,-6212,13659,15790,21519
"1315 Hylte","Net profit/loss for the year",-49637,-9948,4152,11040,5885,-14464,-18421,4849,9063,3098,9036,15673,11764,2527,2708,5558,11799,20254,54447,23080,-14779,-6212,13659,15790,-3481
"1380 Halmstad","Total income for operations",627066,647996,671763,734441,826943,830198,906513,1022308,1207262,1146111,1000799,1458371,1091634,1034287,1114949,1167700,1166500,1273884,1362724,1563005,1543783,1515939,1527175,1531970,1771348
"1380 Halmstad","Total costs for operations",-2578903,-2703822,-2811725,-3067178,-3327387,-3462606,-3540768,-3710388,-3925672,-4113233,-4333144,-4613726,-4735116,-4771346,-4956260,-5060700,-5253959,-5509887,-5877784,-6376926,-6693457,-6806498,-6837774,-7156229,-7474457
"1380 Halmstad","Total net current costs",-2111453,-2242580,-2325133,-2523797,-2690229,-2834418,-2850590,-2917797,-2961997,-3227495,-3609446,-3350314,-3861799,-3974781,-4088411,-4144000,-4345459,-4536068,-4818347,-5134705,-5487007,-5667084,-5718801,-6087233,-6192852
"1380 Halmstad","Tax revenues",1633147,1749975,1905061,2041639,2141108,2297353,2374065,2477704,2667661,2811154,2952654,3001585,3183784,3308199,3388707,3491251,3586780,3765724,3956652,4250775,4396872,4570398,4572123,4858533,5170088
"1380 Halmstad","General grants and equalisation grants",383933,409723,422355,446530,471275,465665,451476,523598,520272,579869,604287,622955,754742,753694,698724,769214,778735,767118,848520,972927,1003742,1103824,1362369,1358480,1458382
"1380 Halmstad","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7138,215691,129780,435618
"1380 Halmstad","Financial income",131904,102751,97114,103351,108799,152504,122756,189336,167137,191116,187225,230908,151299,153545,128200,152776,110000,122090,139219,149139,147590,294863,244611,412864,202444
"1380 Halmstad","Financial costs",-15625,-6589,-4338,-13177,-61629,-3895,-2659,-2247,-2639,-10071,-58800,-5558,-5261,-8617,-6900,-20223,-3581,-13999,-5224,-11616,-4932,-9727,-4635,-12774,-310791
"1380 Halmstad","Net profit/loss after financial items",20406,9900,92575,53184,-32718,75642,93971,269380,389111,342800,74041,496636,221754,232040,120320,249018,126475,104865,120820,226520,56265,292274,455667,529870,327271
"1380 Halmstad","Net profit/loss for the year",46900,218246,101634,551370,-32718,75642,93971,269380,389111,342800,74041,496636,221754,232040,120320,249018,126475,104865,120820,226520,56265,292274,455667,529870,327271
"1381 Laholm","Total income for operations",144328,152107,156361,173384,197091,203545,210898,201505,216550,207028,209617,213687,228200,237136,268740,270771,265799,314978,372782,358187,369282,354158,359288,357295,394329
"1381 Laholm","Total costs for operations",-657733,-688461,-740667,-781378,-844874,-907146,-939165,-953681,-985937,-1040391,-1091329,-1126990,-1154038,-1197337,-1256350,-1264606,-1300112,-1425727,-1556100,-1615429,-1700767,-1748062,-1775602,-1864865,-1959396
"1381 Laholm","Total net current costs",-551777,-576196,-625990,-652990,-691577,-751524,-782121,-805954,-819784,-895960,-942751,-954611,-970928,-1006859,-1035626,-1047621,-1091232,-1154707,-1226292,-1292580,-1366667,-1438958,-1467112,-1563169,-1622109
"1381 Laholm","Tax revenues",383342,414719,448012,486558,508161,532057,568117,599378,643723,676425,714484,742222,761922,784628,808092,830170,856676,892192,932089,979338,1004115,1039406,1046802,1113765,1198557
